"Dataset","Configuration","Replicate","InitialTemperature","CoolingRate","MaxIterations","TotalShifts","FilledShifts","FilledPercentage","ExecutionTimeMs","TotalPenaltyScore"
"small","fast-cooling","27","1000","0.8","1000","50","50","100","184","0"
"small","fast-cooling","28","1000","0.8","1000","50","50","100","108","0"
"small","fast-cooling","29","1000","0.8","1000","50","50","100","112","0"
"small","fast-cooling","30","1000","0.8","1000","50","50","100","69","0"
"small","short-search","1","1000","0.95","100","50","50","100","13","0"
"small","short-search","2","1000","0.95","100","50","50","100","15","0"
"small","short-search","3","1000","0.95","100","50","50","100","16","0"
"small","short-search","4","1000","0.95","100","50","50","100","8","0"
"small","short-search","5","1000","0.95","100","50","50","100","12","0"
"small","short-search","6","1000","0.95","100","50","50","100","15","0"
"small","short-search","7","1000","0.95","100","50","50","100","39","0"
"small","short-search","8","1000","0.95","100","50","50","100","12","0"
"small","short-search","9","1000","0.95","100","50","50","100","13","0"
"small","short-search","10","1000","0.95","100","50","50","100","13","0"
"small","short-search","11","1000","0.95","100","50","50","100","13","0"
"small","short-search","12","1000","0.95","100","50","50","100","13","0"
"small","short-search","13","1000","0.95","100","50","50","100","8","0"
"small","short-search","14","1000","0.95","100","50","50","100","9","0"
"small","short-search","15","1000","0.95","100","50","50","100","8","0"
"small","short-search","16","1000","0.95","100","50","50","100","10","80"
"small","short-search","17","1000","0.95","100","50","50","100","5","0"
"small","short-search","18","1000","0.95","100","50","50","100","16","0"
"small","short-search","19","1000","0.95","100","50","50","100","17","0"
"small","short-search","20","1000","0.95","100","50","50","100","11","0"
"small","short-search","21","1000","0.95","100","50","50","100","13","0"
"small","short-search","22","1000","0.95","100","50","50","100","23","0"
"small","short-search","23","1000","0.95","100","50","50","100","9","0"
"small","short-search","24","1000","0.95","100","50","50","100","10","0"
"small","short-search","25","1000","0.95","100","50","50","100","13","0"
"small","short-search","26","1000","0.95","100","50","50","100","31","0"
"small","short-search","27","1000","0.95","100","50","50","100","44","110"
"small","short-search","28","1000","0.95","100","50","50","100","8","30"
"small","short-search","29","1000","0.95","100","50","50","100","32","0"
"small","short-search","30","1000","0.95","100","50","50","100","14","0"
"medium","baseline","1","1000","0.95","1000","100","100","100","240","0"
"medium","baseline","2","1000","0.95","1000","100","100","100","345","0"
"medium","baseline","3","1000","0.95","1000","100","100","100","228","0"
